Rank,Headline,URL
1,"Cloudflare outage on November 18, 2025 post mortem",https://blog.cloudflare.com/18-november-2025-outage/
2,Gemini 3,https://blog.google/products/gemini/gemini-3/
3,Google Antigravity,https://antigravity.google/
4,I just want working RCS messaging,https://wt.gd/i-just-want-my-rcs-messaging-to-work
5,Show HN: Browser-based interactive 3D Three-Body problem simulator,"https://trisolarchaos.com/?pr=O_8(0.6)&n=3&s=5.0&so=0.00&im=rk4&dt=1.00e-4&rt=1.0e-6&at=1.0e-8&bs=0.15&sf=0&sv=0&cm=free&kt=1&st=1&tl=1500&cp=2.5208,1.5125,2.5208&ct=0.0000,0.0000,0.1670"
6,"Pebble, Rebble, and a path forward",https://ericmigi.com/blog/pebble-rebble-and-a-path-forward/
7,Blender 5.0,https://www.blender.org/download/releases/5-0/
8,Bluetooth Channel Sounding: The Next Leap in Bluetooth Innovation,https://www.embedded.com/bluetooth-channel-sounding-the-next-leap-in-bluetooth-innovation?_gl=1*8e3cij*_gcl_au*MzQwNzM2NDAxLjE3NjMwMzUwNzA.*_ga*NDc3NjU3MDk3LjE3NjMwMzUwNzA.*_ga_ZLV02RYCZ8*czE3NjMwMzUwNjkkbzEkZzAkdDE3NjMwMzUwNjkkajYwJGwwJGgw
9,Mojo-V: Secret Computation for RISC-V,https://github.com/toddmaustin/mojo-v
10,Gemini 3 Pro Model Card [pdf],https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf
11,The code and open-source tools I used to produce a science fiction anthology,https://compellingsciencefiction.com/posts/the-code-and-open-source-tools-i-used-to-produce-a-science-fiction-anthology.html
12,Ultima VII Revisited,https://github.com/ViridianGames/U7Revisited
13,Cloudflare Global Network experiencing issues,https://www.cloudflarestatus.com/incidents/8gmgl950y3h7
14,I am stepping down as the CEO of Mastodon,https://blog.joinmastodon.org/2025/11/my-next-chapter-with-mastodon/
15,I made a down detector for down detector,https://downdetectorsdowndetector.com
16,OrthoRoute – GPU-accelerated autorouting for KiCad,https://bbenchoff.github.io/pages/OrthoRoute.html
17,I wrote a Pong game in a 512-byte boot sector,https://akshatjoshi.com/i-wrote-a-pong-game-in-a-512-byte-boot-sector/
18,Show HN: RowboatX – open-source Claude Code for everyday automations,https://github.com/rowboatlabs/rowboat
19,GitHub: Git operation failures,https://www.githubstatus.com/incidents/5q7nmlxz30sk
20,What I learned about creativity from a man painting on a treadmill (2024),https://quinnmaclay.com/texts/lets-paint
21,Solving a million-step LLM task with zero errors,https://arxiv.org/abs/2511.09030
22,Google boss says AI investment boom has 'elements of irrationality',https://www.bbc.com/news/articles/cwy7vrd8k4eo
23,Bild AI (YC W25) is hiring – Make housing affordable,https://www.ycombinator.com/companies/bild-ai/jobs/m2ilR5L-founding-engineer-applied-ai
24,Rebecca Heineman – from homelessness to porting Doom (2022),https://corecursive.com/doomed-to-fail-with-burger-becky/
25,Lucent 7 R/E 5ESS Telephone Switch Rescue (2024),http://kev009.com/wp/2024/07/Lucent-5ESS-Rescue/
26,Strace-macOS: A clone of the strace command for macOS,https://github.com/Mic92/strace-macos
27,DOE gives Microsoft partner $1B loan to restart Three Mile Island reactor,https://techcrunch.com/2025/11/18/trump-doe-gives-microsoft-partner-1b-loan-to-restart-three-mile-island-reactor/
28,Short Little Difficult Books,https://countercraft.substack.com/p/short-little-difficult-books
29,Nearly all UK drivers say headlights are too bright,https://www.bbc.com/news/articles/c1j8ewy1p86o
30,Microsoft-backed Veir is bringing superconductors to data centers,https://techcrunch.com/2025/11/12/microsoft-backed-veir-targets-data-centers-for-its-megawatt-class-superconductors/
